population,beta_pp_per_day,p_value,subject_variance,residual_variance,q_value,significant_bh
b_cell,-0.061386209701288004,0.015635826982822922,2.5463487407287794e-09,10.363623781982515,0.0781791349141146,False
cd4_t_cell,0.04201742430468596,0.2882516176375022,1.1606826231941553e-06,25.15776836268529,0.5809899488594936,False
nk_cell,-0.025883349610084375,0.4065801074028076,1.995831413127747e-08,15.631291116283967,0.5809899488594936,False
monocyte,0.025035647344449095,0.46479195908759496,3.586113101767376e-07,18.85130413941225,0.5809899488594936,False
cd8_t_cell,0.02021648766195076,0.5836895191427162,2.516357325539167e-07,21.87149057474796,0.5836895191427162,False
