population,p_pooled_cross_sectional,p_day14_only,p_response_time_trend,p_change_score,q_pooled_cross_sectional,q_day14_only,q_response_time_trend,q_change_score
b_cell,0.055702309738266245,0.014414435042203688,0.015635826982822922,0.0061797722007178885,0.1392557743456656,0.07207217521101844,0.0781791349141146,0.03089886100358944
cd8_t_cell,0.6390858847346418,0.7407366897157915,0.5836895191427162,0.7224479931263318,0.6390858847346418,0.7407366897157915,0.5836895191427162,0.7224479931263318
cd4_t_cell,0.013344218813937624,0.0754706770446271,0.2882516176375022,0.10896045552122537,0.06672109406968811,0.18867669261156772,0.5809899488594936,0.2724011388030634
nk_cell,0.1210507982042857,0.3147007071269343,0.4065801074028076,0.541696649061832,0.20175133034047618,0.5245011785448905,0.5809899488594936,0.7224479931263318
monocyte,0.16315013268752876,0.6471033071525258,0.46479195908759496,0.6042059346043192,0.20393766585941095,0.7407366897157915,0.5809899488594936,0.7224479931263318
