population,sd_day14,sd_change,sd_ratio_change_vs_day14,baseline_gap_pp,baseline_gap_p,day14_gap_pp,se_responder,se_non_responder,se_of_difference
b_cell,3.249307471025529,4.610956732190962,1.4190582988244187,0.31260162691056337,0.5485408675112389,-0.546805308905876,0.2623301131706484,0.24436471728847847,0.35851248699536703
cd8_t_cell,4.75626688564434,6.55917931897983,1.3790604010841259,-0.18307551959351542,0.5139556861462278,0.09995530767583816,0.37108612062269986,0.3530535940001183,0.5122028398546862
cd4_t_cell,4.997365690152996,7.058263093267932,1.4123967567904443,0.14463050102149566,0.7964495929763914,0.7328744412898018,0.4077417178241082,0.3699914376502732,0.5505878425725278
nk_cell,3.98455024990567,5.667383653406731,1.4223396112374038,0.048192003912820525,0.8853281081905569,-0.3141748906299302,0.3247393683409591,0.30032660432280806,0.44232536284340923
monocyte,4.491364315742004,6.404605705680967,1.425982230662774,-0.3223486122513606,0.21138928177193006,0.02815045057016974,0.38132694113273996,0.3226805228955965,0.4995327375556358
